planetID,starID,L_st,R_st,T_eff_st,d,contrast,a,S,S_abs,a_eff,R_eff,has_H2O,age,EEC,has_O2
186,114,1.42572,1.08444675,6061.8727,14.926,2.789074297678307e-11,4.080192172460322,0.08563927957679131,20.382148539276333,3.4171457061353627,1.6653435490067183,0.0,7.958667361522338,0.0,
187,115,0.107013,0.60000814,4265.6275,4.869,5.269161228130324e-09,0.9384204501824506,0.12151827961320516,28.92135054794283,2.868660766585492,5.264551592603637,,1.5956923773822724,0.0,
190,116,1.22747,1.04796381,5939.9385,22.442,2.0864929955001942e-10,1.4369471506067004,0.5944691139439876,141.48364911866906,1.296986191256986,1.6041406343809004,0.0,3.0229267538536178,0.0,
191,117,1.98681,1.16990248,6341.1295,22.332,1.3081741350880807e-10,4.8619684725180665,0.08404890515289665,20.0036394263894,3.449323837403208,4.297719791318941,,4.103968470853359,0.0,
192,117,1.98681,1.16990248,6341.1295,22.332,3.5940475391493503e-10,1.7424540823861834,0.654385477509633,155.74374364729266,1.2361841579039283,2.55297422341574,,4.225007733704106,0.0,
193,118,0.786748,0.946653,5591.9834,20.25,3.952327766219819e-10,2.0988076137754197,0.17860367283728482,42.50767413527379,2.3662182913620744,3.224722045833794,,4.218957934081753,0.0,
194,119,5.36088,1.46785153,7255.5498,16.143,4.333246230037153e-11,4.416799667914864,0.2748025022696959,65.40299554018762,1.9076102991665131,2.247023241033073,,2.162243869825597,0.0,
195,120,1.24658,1.05167049,5952.4062,22.924,9.729053233471697e-11,1.4298215959760916,0.6097565162202125,145.12205086041058,1.2806244078475506,1.0899593999617774,1.0,1.0803468207835623,1.0,0.0
196,121,0.0261233,0.43468779,3522.6594,7.033,6.178755206211422e-10,1.1650393104870507,0.019246283510135808,4.580615475412323,7.208195558158379,2.238124560820814,,7.268703912085433,0.0,
197,121,0.0261233,0.43468779,3522.6594,7.033,3.617120742308859e-09,0.9358292046504115,0.029828735936047505,7.099239152779306,5.790053481831386,4.349819904158066,,5.8398501331415416,0.0,
198,121,0.0261233,0.43468779,3522.6594,7.033,1.3007199830551165e-09,2.2393838659172913,0.00520919899431496,1.2397893606469605,13.855255088833308,6.241854344813045,,6.078703238771256,0.0,
200,122,1.68338,1.12641429,6200.102,12.914,1.6391698395347644e-09,0.6450251487424236,4.046027850971056,962.9546285311113,0.49714785052906213,2.0182817993139843,,2.6393410788529863,0.0,
201,122,1.68338,1.12641429,6200.102,12.914,3.3271968865287245e-10,4.318055526143695,0.09028294512296108,21.487340939264737,3.3281059311762093,6.087243184380976,,2.9675124833801956,0.0,
203,123,3.38269,1.32121429,6816.0267,22.73,1.9052724544449472e-10,1.4736607149049623,1.5576403439692377,370.7184018646786,0.8012469814513917,1.5720604052852973,0.0,5.474791662959979,0.0,
205,125,1.63304,1.11862659,6174.6025,13.802,6.966533116085467e-11,0.6528778373956434,3.831183644275958,911.821707337678,0.5108971911663943,0.42114675448272415,,4.418357597814156,0.0,
207,126,0.0191501,0.40490525,3377.2905,6.751,1.9721654833905763e-10,0.6384125936379665,0.04698596545954562,11.182659779371859,4.613344880671009,0.6928932032710267,0.0,5.348025200807283,0.0,
208,126,0.0191501,0.40490525,3377.2905,6.751,2.622679134706734e-10,0.4218099565943306,0.10763100426531799,25.616179015145683,3.048114688310856,0.5279375909434225,0.0,3.9718855296896782,0.0,
